Character,Line,Episode
Action, [A vision of Finn and Jake farting on Neptr appears.],What is Life?
Imaginary Finn & Jake,  Yeah! Pootin' on Neptr to the max!,What is Life?
Action, [Vision disappears.],What is Life?
Neptr,"  Haha! Yeah, I love Finn's pranks!",What is Life?
Ice King,"  NOOOOO!! [The three exit the Imagination Zone.] I'm through playing around, son. Who do you choose?",What is Life?
Finn,"  Come on, Neptr. Choose me, buddy. Choose pranks.",What is Life?
Neptr,"  I... uh, I... choose... Ice King!",What is Life?
Finn,  WHAT?! You've gotta be flippin' kidding me!,What is Life?
Ice King,"  He made his choice! Get over it, crybaby!",What is Life?
Neptr,  I'm not finished. I choose Ice King... to prank! Hardcore!,What is Life?
Ice King,  [Angry] WHHHAAAAT— [Neptr launches a pie at Ice King.] Aah! My face! [Neptr and Finn laugh.] I birthed you and I can un-birth you!,What is Life?
Finn,  NEVER!,What is Life?
Ice King,  OOF! [Gets knocked out by Finn],What is Life?
Neptr,"  Sleep well, Papi. In your Imagination Zone full of beautiful princesses.",What is Life?
Finn,  You wanna prank Jake?,What is Life?
Neptr,  It's why I was created.,What is Life?
Finn,"  Haha, okay. Let's gooooo! [Finn and Neptr go inside the Tree Fort.] Jake! Wake up!",What is Life?
Jake,"  [Tired] Ahhh, hey, du—AAAAAH!",What is Life?
Action, [There are sounds of pies landing on Jake. The camera pans towards a knocked out Ice King; a tear drops down his cheek. Scene shifts to Ice King's imagination.],What is Life?
Imaginary Neptr,"  Sun is going down. Shall we capture princesses now, Papi?",What is Life?
Ice King,"  No, let's just stay here a little longer, son.",What is Life?
Imaginary Neptr,"  I love you forever, Papi.",What is Life?
Action," [Ice King brings Neptr closer, and the episode ends.]",What is Life?
Pat McHale,"  In the dark recesses of the mind, a disease known as fear feasts upon the souls who cannot overcome its power...",Ocean of Fear
Action, [Finn and Jake chase a Fire Newt to the ocean],Ocean of Fear
Finn,"  Come back, thief!",Ocean of Fear
Action, [The Fire Newt spews fire at Finn and Jake],Ocean of Fear
Jake,  Whoa!,Ocean of Fear
Fire Newt,  Stop farting on me! It's gross!,Ocean of Fear
Finn,  You can't just go around stealing boots.,Ocean of Fear
Jake,"  Yeah, and you know the penalty for stealing boots. It's poots... on newts.",Ocean of Fear
Both,  [Laughs],Ocean of Fear
Action, [The Fire Newt wades into the ocean to avoid Finn and Jake],Ocean of Fear
Finn,  He's getting away in that lake!,Ocean of Fear
Jake,"  Dude, that isn't a lake. That's an ocean.",Ocean of Fear
Action," [Jake stretches and heads towards the ocean, barking]",Ocean of Fear
Finn,  [Laughs and runs after Jake] Bark! Bark! Bark! Bark! ...Huh?,Ocean of Fear
Action, [The hue of the ocean and sky changes to red and ominous music plays as a wave crashes],Ocean of Fear
Action, [Finn backs away from the water as it washes onto land],Ocean of Fear
Finn,  Uhh...,Ocean of Fear
Jake,  [Laughing and farting on the Newt] Poots on newts! Poots on newts!,Ocean of Fear
Fire Newt,  No!,Ocean of Fear
Jake,  [Slow-motion] Poots on newts!,Ocean of Fear
Finn,"  [laughs and starts removing his shoes] I'm coming, Jake. I'll poot on that newt as soon as I'm barefoot. Uh...",Ocean of Fear
Action, [The ocean turns a red hue again and ominous music plays as a wave crashes],Ocean of Fear
Action, [Finn gasps and rapidly crawls away from the water],Ocean of Fear
Finn,"  [Breaths heavily, his stomach rumbles] Ow! Why is my stomach going nuts?",Ocean of Fear
Action, [A black smoke rises out of Finn's navel],Ocean of Fear
Finn,  Ow!,Ocean of Fear
Action, [The smoke forms into a face and laughs],Ocean of Fear
Finn,  Wh-wh-wh-Who are you?,Ocean of Fear
Fear Feaster,  I am the manifestation of your fear... fear of the ocean!,Ocean of Fear
Finn,"  What? I'm not afraid of lakes, wells, or rivers, streams, or deep wells or puddles. Why would I be afraid of- [Screams and backs away from the water]",Ocean of Fear
Fear Feaster,  [Laughs] 'Cause you're a wuss.,Ocean of Fear
Finn,  I'm no wuss! I'm the hero around these parts!,Ocean of Fear
Fear Feaster,  Ha! You're too scared of the ocean to ever be a true hero.,Ocean of Fear
Finn,  Not true! I'm not scared of nothin'!,Ocean of Fear
Action," [Finn charges towards the ocean, screaming, but stops when he sees a wave crash]",Ocean of Fear
Finn,  [Shakes his head and takes a deep breath] I shall conquer my fear.,Ocean of Fear
Fear Feaster,"  Yeah, right.",Ocean of Fear
Finn,  No! I will. I'll conquer my fear.,Ocean of Fear
Fear Feaster,"  Of course you will, [Receding back into Finn's navel] and I live in a two bedroom apartment that doesn't smell like vomit [Laughs] ...Sarcasm.",Ocean of Fear
Jake,"  Dude. Dude, did you see me? I was all like womp, and then I was all like take this! Womp! Womp! And then... Hey, what’s wrong with you, dude?",Ocean of Fear
Finn,  Jake. I think I'm afraid... of the ocean.,Ocean of Fear
Jake,"  Say what, now?",Ocean of Fear
Finn,  I need your help to overcome my fear. Will you do it?,Ocean of Fear
Jake,  Um... No... I don't really wanna do it.,Ocean of Fear
Finn,  Jake! Come on!,Ocean of Fear
Jake,"  I'm just messing with you. I'll do it. Hmm... Where to start? Oh, ok. I think we should just take a few steps in the water. You can hold Jake's hand if you're scared.",Ocean of Fear
Action," [Jake grabs Finn's hand and starts walking towards the water, but Finn doesn't walk and falls over]",Ocean of Fear
Jake,"  Um... Oh it's ok, dude. I see the problem. It's just your feet.",Ocean of Fear
Jake,  [Manually moving Finn's feet forward one at a time] Boop. Beep. Boop. Beep. Boop. Beep. Boop. Beep. Beep. Boop. Beep. Boop.,Ocean of Fear
Finn,  Don't be scared. I shall not be scared.,Ocean of Fear
Jake,  [Still moving Finn's feet] Boop. Boop.,Ocean of Fear
Action, [The water touches Finn's feet],Ocean of Fear
Finn,"  I'm afraid! Ah! [Jumps on top of Jake and starts punching him] Jake, get me out of the water! Now, Jake! Now! Now!",Ocean of Fear
Action, [Jake inflates his head and walks Finn back to shore],Ocean of Fear
Jake,"  Hot jam! You're really scared of the ocean. In fact, you're so scared... it gives me an idea. Let's start a business of being scared of the ocean!",Ocean of Fear
Finn,  Jake!,Ocean of Fear
Jake,  Ok. Ok. I have a plan to get rid of your fear. We'll start tomorrow morning.,Ocean of Fear
Finn,  But I must conquer this now! [Runs towards the ocean screaming] I'm not afraid of you!,Ocean of Fear
Action, [Multiple waves crash directly in front of Finn in rapid succession and a single droplet hits Finn's face],Ocean of Fear
Finn,  [reels back in slow-motion and screams],Ocean of Fear
Finn,  [Running backwards] I'm afraid of you! I'm afraid of you! [Screams],Ocean of Fear
Finn,"  [Exhaustedly crawls to Jake's feet] Ok, yeah. Let's try tomorrow.",Ocean of Fear
Action, [The scene changes to Finn and Jake's bedroom where Jake is sitting on top of a sleeping Finn],Ocean of Fear
Jake,"  Fiiiinn. Finn. Hey, Finn. Wake up.",Ocean of Fear
Finn,"  [Opens his eyes] Morning, Jake.",Ocean of Fear
Jake,  Ready for me to help you get over your ocean fear?,Ocean of Fear
Finn,"  Yeah, man.",Ocean of Fear
Jake,  Cool... but I can only do this if you ask me.,Ocean of Fear
Finn,  I'm askin'!,Ocean of Fear
Jake,  Then get ready for my three-step plan. Watch your troubles melt away with step one!,Ocean of Fear
Action," [Jake punches the bedroom wall and the entire structure breaks apart, leaving Finn and Jake floating on Finn's bed in the middle of the ocean]",Ocean of Fear
Finn,"  [Screams] Jake, are you crazy? This is not an OK thing to do!",Ocean of Fear
Jake,"  Hey. Hey. Come on. The ocean is your friend, and you got friends all around you right now. Miles and miles of friends.",Ocean of Fear
Finn,  You're nuts. [Wriggles from side to side],Ocean of Fear
Jake,"  Don't try to struggle, man. [Pulls the blankets back, revealing that Finn is tied to the bed] I'll let you out in a second. You just need to calm down.",Ocean of Fear
Finn,  Really? Ok. I'm calming down.,Ocean of Fear
Jake,  That's great. You're doing great. Ready for step two?,Ocean of Fear
Finn,"  [Breathing heavily] Yeah, man. I can do it.",Ocean of Fear
Jake,"  Alright, dude. Step... two! [Unties the rope]",Ocean of Fear
Action," [The bed collapses and falls into the ocean, leaving Finn floating inside his sleeping bag and Jake on top of him]",Ocean of Fear
Finn,"  [Screams] Jake, this isn't a joke! It's touching me!",Ocean of Fear
Jake,"  Let it hold you, man! Let it hold you like a child!",Ocean of Fear
Finn,  [Heart pounding] I'm trying to let it hold me.,Ocean of Fear
Jake,  Control your breathing!,Ocean of Fear
Finn,  [Breathes in and out] This isn't working!,Ocean of Fear
Jake,  That means we gotta move to step three. Just don't scream.,Ocean of Fear
Finn,  W-what?,Ocean of Fear
Jake,  I'm gonna push you underwater with my jowls. Just don't scream. Don't scream.,Ocean of Fear
Action, [Jake pushes Finn's head underwater],Ocean of Fear
Finn,  What?!,Ocean of Fear
Jake,"  Don't scream. Hold your breath, Finn. You got it, dude!",Ocean of Fear
Action," [Finn screams and bursts out of his sleeping bag, sending Jake flying into the water]",Ocean of Fear
Action, [Finn jumps onto Jake's head and starts pounding on him],Ocean of Fear
Finn,"  Get me away, Jake! Now, Jake! Now! Right now! Get-Get me away! [Screams]",Ocean of Fear
Jake,"  Finn! Stop it, Finn! Ow!",Ocean of Fear
Action, [Finn grabs Jake's ears and stretches them until they catch wind and carry both Finn and Jake to an island of pre-war ruins],Ocean of Fear
Finn,  [Laughs] I'm safe! I'm safe! How'd I do?,Ocean of Fear
Jake,  I think we should give up.,Ocean of Fear
Finn,  What? I made it all the way to level three.,Ocean of Fear
Jake,"  Look, Finn. It's not that I don't want to help you... I just don't wanna get beat up anymore. I mean this [Pointing to his face] is my bread and butter. I can't have you messing up my bread and butter, dude.",Ocean of Fear
Finn,  You have to help me. I can't do this without you.,Ocean of Fear
Jake,  Ok. Fine... but only if you swear not to hit me anymore.,Ocean of Fear
Finn,  I swear I won't hit you anymore.,Ocean of Fear
Jake,  And also swear to only speak in rhymes. Speak in rhymes all the times.,Ocean of Fear
Finn,  I swear... and pigs have hair.,Ocean of Fear
Jake,  Yes. Perfect. And since you want more... it's time for step four.,Ocean of Fear
Finn,  What? I thought you said it was a three step plan... man.,Ocean of Fear
Jake,"  I'm not that good at counting. [Laughs and grabs a small, rusty submarine] Come on. Let's go kick your fear of the ocean where the sun don't shine... in the sea cucumber.",Ocean of Fear
Action, [The scene changes to underwater where Finn and Jake are heading to the ocean floor in the submarine],Ocean of Fear
Jake,"  Check it, dude. One hundred percent awesome-itude.",Ocean of Fear
Finn,"  [Eyes closed, breathes heavily and shivers] Yeah. It's pretty math... you psychopath.",Ocean of Fear
Jake,"  You know, it looks way more math if you open up your eyes.",Ocean of Fear
Finn,  [Opens his eyes] Whoa...,Ocean of Fear
Jake,"  See, man? The ocean is beautiful. There's no reason to be afraid of things that are beautiful.",Ocean of Fear
Finn,  Hey. This isn't that bad. I'm actually glad.,Ocean of Fear
Jake,"  [Points] Hey, look! A black abyss! Let's go check it out... sauerkraut.",Ocean of Fear
Finn,"  No, Jake! Turn around! Turn around!",Ocean of Fear
Action, [Finn sees the Fear Feaster's face appear in front of the abyss],Ocean of Fear
Finn,  Noooo!,Ocean of Fear
Jake,"  Saying, ""Turn around"" twice doesn't count as a rhyme, dude.",Ocean of Fear
Action, [Finn pushes Jake away from the submarine controls],Ocean of Fear
Jake,"  Hey, you swore!",Ocean of Fear
Action, [Finn pummels Jake],Ocean of Fear
Jake,  Ow! My bread and butter!,Ocean of Fear
Action, [Finn grabs the controls and jerks them violently],Ocean of Fear
Jake,"  No, dude! Don't!",Ocean of Fear
Action," [The submarine moves wildly and launches torpedoes, one of which hits a building]",Ocean of Fear
Action," [The building topples and hits the submarine, causing it to start filling up with water]",Ocean of Fear
Jake,"  Don't worry, dude. Everything's cool. This is the perfect segue into level five. [Handing Finn a dive suit] Here, put this on.",Ocean of Fear
Action, [Finn starts putting on the suit],Ocean of Fear
Jake,  Just make sure you don't pull the emergency tab.,Ocean of Fear
Action, [Finn pulls the emergency tab],Ocean of Fear
Jake,"  No, dude! I said don't...",Ocean of Fear
Action," [Finn's suit expands rapidly and knocks Jake back, hitting his head against a valve and knocking him out]",Ocean of Fear
Action, [Finn floats to the surface and watches Jake descend into the abyss along with the broken submarine],Ocean of Fear
Finn,  Jake? Jaaaaaake!,Ocean of Fear
Action, [Finn reaches the surface and jumps onto a buoy],Ocean of Fear
Finn,  Jake!,Ocean of Fear
Fear Feaster,  [Laughs] Pathetic! You can't even overcome your fear now that your friend is about to die! Your un-heroic body will never let you save Jake. [Laughs],Ocean of Fear
Finn,  [Sadly] You're right.,Ocean of Fear
Fear Feaster,"  What? Really? You think I'm right? Well, that's... that's great!",Ocean of Fear
Finn,"  [Holding a wrench] If my body won't let me rescue my best friend, then there's only one thing left to do.",Ocean of Fear
Action," [Finn removes his helmet, hits himself on the head with the wrench and falls into the ocean]",Ocean of Fear
Fear Feaster,  No. Wait. No! Noooo!,Ocean of Fear
Action, [Finn lands on the ocean floor and wakes up next to Jake],Ocean of Fear
Action, [Jake groans],Ocean of Fear
Finn,  Jake! Jake! Wake up!,Ocean of Fear
Action, [Jake opens his eyes],Ocean of Fear
Finn,"  You ok, dude?",Ocean of Fear
Jake,"  Yeah, man. Wait... Finn, you did it! You conquered your fear!",Ocean of Fear
Finn,  What?,Ocean of Fear
Jake,  You're at the bottom of the ocean!,Ocean of Fear
Action," [Finn screams and tries to pull his emergency tab, but nothing happens]",Ocean of Fear
Jake,  Maybe we should celebrate on land.,Ocean of Fear
Action," [Jake grabs Finn and pulls his own emergency tab, so they both float to the surface]",Ocean of Fear
Action, [Finn and Jake run onto the beach and fall backwards],Ocean of Fear
Jake,  I'm proud of you man. You did it!,Ocean of Fear
Finn,"  Thanks, dude.",Ocean of Fear
Action, [Fear Feaster comes out of Finn's navel],Ocean of Fear
Fear Feaster,"  You've nothing to be proud of, boy! You will never get of your fear of the ocean!",Ocean of Fear
Jake,"  Whoa, dude! What's with your bellybutton?",Ocean of Fear
Finn,"  [To Fear Feaster] What the flip, man? I just swam to the bottom!",Ocean of Fear
Fear Feaster,"  No you didn't, cheater! You just sank to the bottom. You will never be a great hero.",Ocean of Fear
Finn,  He's right. I'll never be a hero.,Ocean of Fear
Action, [Finn's stomach rumbles and a black-smoke limousine comes out of him and parks nearby],Ocean of Fear
Action, [The limousine’s windows roll down and Three Wise Men come out],Ocean of Fear
Wise Man 1,"  Finn, you are wrong. The mark of a great hero is his flaw.",Ocean of Fear
Fear Feaster,"  You know nothing, Wise Men!",Ocean of Fear
Wise Man 1,"  Silence, Fear Feaster! We know a lot!",Ocean of Fear
Finn,  Wait... Why did you wait so long to tell me?,Ocean of Fear
Wise Man 1,  Because the limo driver's flaw is being late!,Ocean of Fear
Limo Driver, Sorry. [rolls up window],Ocean of Fear
Wise Man 1,"  Farewell, Finn. You truly are the greatest hero of Ooo.",Ocean of Fear
Action, [The Wise Men go back inside the limo and then the limo drives back into Finn],Ocean of Fear
Finn,"  It's time for you to go away, Fear Feaster!",Ocean of Fear
Fear Feaster,  What? Am I supposed to live in your tummy for the rest of my life?,Ocean of Fear
Finn,  Everybody has a flaw... and it looks like yours is smelling like my nasty guts.,Ocean of Fear
Action, [Fear Feaster heads back into Finn's stomach],Ocean of Fear
Fear Feaster,  [Sarcastically] Wonderful...,Ocean of Fear
Pat McHale,"  And so fear is forced deep within the soul of a hero. Conquered... at least, for now... [Maniacal laugh]",Ocean of Fear
Action, [The episode ends],Ocean of Fear
Action, [Music is heard in the Tree Fort where Jake is playing his viola and Finn is listening with a glazed expression and his mouth wide open.],When Wedding Bells Thaw
Jake,"  [Looks up and stops playing] Are you okay, dude?",When Wedding Bells Thaw
Finn,"  Yeah, why?",When Wedding Bells Thaw
Jake,  You look bored.,When Wedding Bells Thaw
Finn,"  Naw, that's just how I look when I'm listening to music.",When Wedding Bells Thaw
Jake,"  Well good, because I'm about to kick it up a notch.",When Wedding Bells Thaw
Finn,  Bring it!,When Wedding Bells Thaw
Action," [Jake starts playing again, and Finn's expression slowly turns to the same expression. They then hear a knock at the door.]",When Wedding Bells Thaw
Finn,"  [walks to the door, and hops on Jake] Who do you think it is?",When Wedding Bells Thaw
Jake,  Could be anybody. [stretches so that Finn can look out the window],When Wedding Bells Thaw
Finn,  Hmm... I can't quite make it out. [Ice King turns his head],When Wedding Bells Thaw
Ice King,  Eee!,When Wedding Bells Thaw
Finn,  Ahh! It's the Ice King!,When Wedding Bells Thaw
Jake,  The Ice King?!,When Wedding Bells Thaw
Ice King,"  Think this is the right address, [takes note out of his beard] mmm is this, is this....",When Wedding Bells Thaw
Finn,  [bursting out door with a sword and kicks the Ice King down] Eiiiiaah!,When Wedding Bells Thaw
Jake,"  Yeah! Kick his butt, dude!",When Wedding Bells Thaw
Action," [Finn attacks Ice King with his sword, but the Ice King uses his ice powers to hover in the air and fire ice at Finn.]",When Wedding Bells Thaw
Finn,"  Eat my sword, Ice King! [throws his sword in the air and then throws it at the Ice King who uses his ice as a shield]",When Wedding Bells Thaw
Finn,  Aww.,When Wedding Bells Thaw
Ice King,"  You can not defeat me, child!",When Wedding Bells Thaw
Finn,"  I will, though! With a sweet kick! [throws himself in the air with his foot forward, but punches Ice king in the face at the last second] Psych! [The Ice King snuffs him with his beard and freezes his head then flings him on the ground.]",When Wedding Bells Thaw
Jake,"  Whoo, hoo hoo!",When Wedding Bells Thaw
Ice King,"  [his hand in a threatening position above Finn] Now I can kill you! Oh wait, wait, wait. I am so stupid! Silly Billy! I came by to tell you the good news!",When Wedding Bells Thaw
Finn,  What's the good news?,When Wedding Bells Thaw
Ice King,  I'm getting married... to someone who wants to marry me! ,When Wedding Bells Thaw
Action, [Finn and Jake both gasp],When Wedding Bells Thaw
Ice King,"  My betrothed is right over there! [waves to show them the Old Lady Princess, who is in a cart with some penguins] Hi, honey!",When Wedding Bells Thaw
Old Lady Princess,"  Hey, cool guy.",When Wedding Bells Thaw
Ice King,  I'm a lucky guy—I didn't even have to kidnap this one! She fell in love with me the moment I slipped on her engagement ring! [wiggles his fingers in front of Finn and Jake],When Wedding Bells Thaw
Finn,  Eww.,When Wedding Bells Thaw
Old Lady Princess,  [the penguins wheel her away] Bye-bye!,When Wedding Bells Thaw
Ice King,"  The lady penguins are throwing her one of those ""bachelorette"" parties.",When Wedding Bells Thaw
Jake,"  [To Finn] This is weird, dude.",When Wedding Bells Thaw
Finn,"  Hmm... if you get married, what about capturing princesses?",When Wedding Bells Thaw
Ice King,"  Oh well, no more capturing pretty princesses for this Ice King! [laughs]",When Wedding Bells Thaw
Finn,"  Ohhh... [walking away] well, fare thee well, Ice King!",When Wedding Bells Thaw
Ice King,  Hmm?,When Wedding Bells Thaw
Jake,"  Yeah, good luck with ye and thy creepy wedding.",When Wedding Bells Thaw
Finn,"  We totally support your decision to stop capturing princesses! [closes door to Tree Fort, turns to Jake] I'm happy for him. [He hears knock at the door, he opens it to see Ice King is still there.]",When Wedding Bells Thaw
Ice King,"  [laughs nervously] Sure wish someone would throw me a bachelorette party—oop, I mean, ""man-lorette"" party.",When Wedding Bells Thaw
Finn,  But we hate you.,When Wedding Bells Thaw
Ice King,"  If you won't throw me man-lorette party, then I'll never have my last hurrah before buckling down with that battle axe! It'll drive me back to a life of stealing hot princesses! Is that what you want?!",When Wedding Bells Thaw
Jake,"  No. No, no, no, no, no.",When Wedding Bells Thaw
Finn,"  [to Jake] Dude, we gotta show him a good time and treat him right. Otherwise, he'll go back to imprisoning ladies! I-I can't have that! I—",When Wedding Bells Thaw
Jake,"  [puts his finger over Finn's mouth] Shhh, I know. I know that you can't have that. Don't worry. [turns to Ice King] Alright, let's go party, Ice King.",When Wedding Bells Thaw
Ice King,  [giggles],When Wedding Bells Thaw
Action," [A montage begins with Finn, Jake, and Ice King at a dance party with some Party Bears. A girl bear winks at him and he winks back, prompting Boy Bear to get angry. Ice King uses his magic to freeze him, after which Finn slaps the Ice King as punishment.]",When Wedding Bells Thaw
Action, [They are then shown at a bar with Tree People all around them. Ice King sips his drink but spits it out in disgust at the Tree Person next to him. The guy punches Ice King and Ice King uses his magic to blow him away. Finn slaps the Ice King again.],When Wedding Bells Thaw
Action," [Finn and Jake are then seen floating down a river on a giant leaf with Ice King on a different leaf. Ice King does a cannonball next to them, splashing them with water and ending the montage.]",When Wedding Bells Thaw
Ice King,  [now in the Grass Lands] Best man-lorette party ever! [laughs and conjures a snowball],When Wedding Bells Thaw
Snowball,  [laughs],When Wedding Bells Thaw
Ice King,  [laughs],When Wedding Bells Thaw
Snowball,  [laughs],When Wedding Bells Thaw
Ice King,"  Fah! [throws snowball at the ground, killing it] Hahahaha! Now I'm gonna go get married! Hehehehe! ♫I'm gonna get married!♪",When Wedding Bells Thaw
Finn,"  [walking toward Tree Fort] Bye, Ice King! Good luck!",When Wedding Bells Thaw
Jake,  Have fun being married!,When Wedding Bells Thaw
Finn,  No more stealing princesses!,When Wedding Bells Thaw
Ice King,  Yeah--wait. No more s-stealing princesses? Wow.,When Wedding Bells Thaw
Finn & Jake,  [running back to him] What?!,When Wedding Bells Thaw
Ice King,  I didn't realize I'd have to give up stealing the ladies.,When Wedding Bells Thaw
Jake,  But you said you were fine with it!,When Wedding Bells Thaw
Ice King,"  I know what I said, but, y'know, sometimes you say things and then you don't really mean them.",When Wedding Bells Thaw
Jake,  What? Are you serious?!,When Wedding Bells Thaw
Ice King,  I'm just not sure I wanna get married in such a hurry. What if she's just after my [pulls back his beard] Demonic Wishing Eye and Ghost pouch? [laughs maniacally],When Wedding Bells Thaw
Finn,  We just took you out partying so that you could feel better about getting hitched!,When Wedding Bells Thaw
Ice King,"  Maybe I'll just go back to capturing lots of girls. It's what I feel comfortable doing, y'know? Being free, wind at my back, lots of girls, kidnapping 'em.",When Wedding Bells Thaw
Finn,"  [starting towards Ice King] Alright, here comes my double kick!",When Wedding Bells Thaw
Jake,"  [holding him back] Finn, Finn, cool yourself, buddy. We need to get this guy married, remember?",When Wedding Bells Thaw
Finn,"  Yeah, I remember.",When Wedding Bells Thaw
Jake,"  Watch. [walking to Ice King] Let big brother handle this. [poking Ice King] Hey, Ice King? Don't be nervous. Marriage is the most beautiful thing that could ever happen to a jerk like you.",When Wedding Bells Thaw
Ice King,  Really? Why?,When Wedding Bells Thaw
Jake,"  [starts sweating] ""Why?"" [walks back to Finn] Poots, that guy is good. Why? Why?",When Wedding Bells Thaw
Finn,  Jake—,When Wedding Bells Thaw
Jake,"  Not now! [to himself] Why, why, why, why, why?",When Wedding Bells Thaw
Ice King,  My mind is made up—80% sure. No marriage.,When Wedding Bells Thaw
Finn,"  Well, uh... don't you wanna grow old with somebody? Right? [pointing] Just like these old swans.",When Wedding Bells Thaw
Action, [Two old swans are shown kissing in a nearby pond.],When Wedding Bells Thaw
Ice King,"  Bleh, those stinky old swans. Huh?",When Wedding Bells Thaw
Action, [The male swan swallows the female one. He opens his mouth and the other one pokes out its head and laughs.],When Wedding Bells Thaw
Finn & Jake,  What?!,When Wedding Bells Thaw
Ice King,"  Ohhhh, now I get what you guys are trying to tell me! Marriage is a thing that allows me to capture a princess forever and let her live inside of me! [crying] Marriage is the most beautiful thing in the world!",When Wedding Bells Thaw
Finn,"  Uhh... Yeah—I-I never—uhh... I guess it is. [to Jake] Jake, this is bad news, man! We gotta go tell him that he can't eat his wife!",When Wedding Bells Thaw
Jake,"  Eh, let's cross that bridge when we get to it. Look how happy he is.",When Wedding Bells Thaw
Ice King,  The wedding? Back on—100%! [laughs and skips away],When Wedding Bells Thaw
Finn,  [wipes sweat from brow] Phew!,When Wedding Bells Thaw
Jake,  All that's left is the lousy wedding. [fist bumps Finn],When Wedding Bells Thaw
Finn,  I'm weddy for the wedding!,When Wedding Bells Thaw
Action, [Finn and Jake walk to the Ice King's Castle wearing black bow ties.],When Wedding Bells Thaw
Finn,"  Y'know, even though the Ice King is a wad, I'm pretty happy for him.",When Wedding Bells Thaw
Jake,"  Uh-huh. This wedding looks lame, man. [Ice King is seen on a snow pyramid with some penguins and Snowman Priest] Be prepared to be bored outta your mind.",When Wedding Bells Thaw
Finn,  [laughs],When Wedding Bells Thaw
Ice King,"  Finn, Jake, you made it! [Ice King is shown tying up Old Lady Princess, who is wearing a veil] Come on up here. I'm almost finished tying up my bride.",When Wedding Bells Thaw
Finn,  Weird—and your bride is into that?,When Wedding Bells Thaw
Ice King,"  This is a traditional wedding ritual for good luck in the Ice Kingdom. You see, she'll be hoisted up and then lowered down—and when she touches my beard from above, she will be my queen! [giggles]",When Wedding Bells Thaw
Finn,"  Well... [shrugs] cool, man. I'm glad y'all are happy... being crazy together.",When Wedding Bells Thaw
Ice King,"  Thank you! Excuse me as we finish preparing for the nuptials. 2, 4, 8, 16, 20, uh—",When Wedding Bells Thaw
Snowman Priest,  32.,When Wedding Bells Thaw
Ice King,"  Yes—32, 64, one hundred and—eh.",When Wedding Bells Thaw
Action, [Flower Girl Penguin lifts Old Lady Princess's veil and she opens her eyes.],When Wedding Bells Thaw
Finn,"  Huh? Her eyes are huge! I'm gonna go check 'em out. [sees Jake scratching his ear] And stop scratching your ear, man—it's gross.",When Wedding Bells Thaw
Jake,"  It wasn't me—it was my foot, dude.",When Wedding Bells Thaw
Finn,"  [walks up to princess] Whoa, you've got ridiculously large eyes, princess! Are you allergic to somethin'?",When Wedding Bells Thaw
Old Lady Princess,"  [tearing up] No, Finn. I was just born like this.",When Wedding Bells Thaw
Finn,  Why are you crying?,When Wedding Bells Thaw
Old Lady Princess,"  I'm not crying, Finn—my tear sac is broken!",When Wedding Bells Thaw
Action, [Camera zooms in on her eyes and an old lady behind bars can be seen in them.],When Wedding Bells Thaw
Old Lady in eye,  Help me!,When Wedding Bells Thaw
Finn,  What?!,When Wedding Bells Thaw
Old Lady Princess,  I didn't say anything.,When Wedding Bells Thaw
Old Lady in eye,  The Ice King cursed me! You've gotta set me free. I would rather die than marry the Ice King!,When Wedding Bells Thaw
Finn & Jake,  [gasp],When Wedding Bells Thaw
Finn,  He tricked me! And I was happy for that son of a toot!,When Wedding Bells Thaw
Jake,  [points] Look at her ring.,When Wedding Bells Thaw
Action, [Old Lady Princess is shown wearing a spiky ring made of ice.],When Wedding Bells Thaw
Ice King [flashback],  She fell in love with me the moment I slipped on her engagement ring.,When Wedding Bells Thaw
Finn,"  That's what cursed her! Don't worry, princess. I'll remove this ring and save your life. [tries to pull off ring]",When Wedding Bells Thaw
Ice King,  No! She's my love boat! [zaps at them with ice magic but misses],When Wedding Bells Thaw
Finn,"  No, man. You cursed her. She hates you!",When Wedding Bells Thaw
Ice King,"  Okay, that's your opinion! [gets ready to zap again]",When Wedding Bells Thaw
Jake,"  Wait a minute! [sighs] So you knew she was cursed all along, which means you knew she wasn't trying to steal your Demonic Eye Junk or whatever, and you knew you had total control of her!",When Wedding Bells Thaw
Ice King,"  Yeah, yes, that's right.",When Wedding Bells Thaw
Jake,  So then why did you make us go through all that junk about why marriage is worth stuff?!,When Wedding Bells Thaw
Ice King,"  Oh, I don't know... I'm complicated—and spontaneous! [laughs] That's probably why she wants to marry me!",When Wedding Bells Thaw
Jake,  She wants to marry you because you brainwashed her!,When Wedding Bells Thaw
Ice King,  Silence! [shoots ice at them],When Wedding Bells Thaw
Finn & Jake,"  Whoa, wait! [the ice freezes their feet] Aw, man!",When Wedding Bells Thaw
Ice King,  It's time for the lowering ceremony! Hoist her up!,When Wedding Bells Thaw
Action," [Some penguins pull on the rope, lifting Old Lady Princess up into the air. Finn tries to break the ice holding his feet down.]",When Wedding Bells Thaw
Ice King,  Hehehehe! Commence the lowering!,When Wedding Bells Thaw
Action, [The Old Lady Princess starts being lowered slowly. Finn takes off his bow tie and uses it to break the ice.],When Wedding Bells Thaw
Ice King,"  Yes, nothing can stop me now.",When Wedding Bells Thaw
Finn,"  Hyah! [punches Ice King, and they both fall off the pyramid] What is wrong with you, man?! [grabs Ice King's nose]",When Wedding Bells Thaw
